lead_id,perfil,origen,etapa,tiene_presupuesto,precio_match,tiene_tipo_preferido,tiene_distrito,dias_inactivo,num_seguimientos,puntuacion_lead,problema_legal,problema_precio,problema_accesibilidad,solo_explorando,convirtio,probabilidad_calculada,fecha_creacion
7941,referido,referido,contactado,1,1,1,1,1,0,0,0,0,0,0,1,0.61,2026-05-17
1439,explorador,web,cierre,1,0,1,0,3,4,36.6,0,0,0,0,1,0.43,2026-05-31
10551,inversor,chat,propuesta,1,0,1,0,0,2,0,0,1,1,0,0,0.246,2026-03-12
1212,explorador,chat,contactado,1,1,0,0,13,0,66.1,0,0,0,1,0,0.056,2026-05-27
19327,familiar,referido,contactado,1,1,1,1,11,0,0,0,0,1,0,1,0.312,2026-04-24
14587,inversor,web,contactado,1,1,1,1,10,1,67.9,1,0,0,1,0,0.071,2026-04-19
17384,familiar,referido,cierre,1,0,1,0,3,7,0,0,1,0,0,1,0.434,2026-04-17
1325,explorador,web,calificado,0,0,1,0,10,1,60.6,0,0,0,1,0,0.049,2026-04-24
5696,explorador,web,contactado,0,0,0,1,14,1,37.6,0,1,1,0,0,0.056,2026-05-01
8548,referido,referido,contactado,1,1,1,1,3,0,84.9,0,0,0,0,1,0.61,2026-03-14
19444,familiar,web,perdido,1,1,1,0,20,0,0,1,0,0,0,0,0.039,2026-05-06
14851,inversor,web,perdido,1,1,0,1,40,0,59.9,1,0,0,0,0,0.055,2026-03-08
5022,explorador,telegram,propuesta,0,0,1,0,7,2,62.3,0,0,1,1,0,0.062,2026-04-03
13392,inversor,web,calificado,1,1,1,1,7,1,84.9,0,0,0,0,1,0.43,2026-04-27
99,explorador,web,negociacion,1,0,0,0,6,4,45.3,0,0,0,0,0,0.31,2026-04-08
15064,familiar,telegram,negociacion,1,1,1,1,3,4,80.7,0,0,0,0,1,0.56,2026-04-04
7790,referido,referido,cierre,1,1,0,0,3,6,80.7,0,0,0,0,1,0.65,2026-05-13
1986,explorador,web,propuesta,0,0,0,0,3,4,0,0,0,0,1,0,0.084,2026-04-01
10352,inversor,web,calificado,1,1,1,1,3,3,0,1,0,1,0,0,0.207,2026-05-09
13966,inversor,web,propuesta,0,0,1,1,4,4,71.0,0,0,0,0,1,0.43,2026-04-05
14003,inversor,referido,negociacion,1,1,1,0,5,4,95,0,0,0,0,1,0.6,2026-05-08
11500,inversor,telegram,contactado,1,1,0,1,0,2,52.3,0,0,0,0,1,0.41,2026-04-08
13072,inversor,web,calificado,1,1,0,0,3,1,0,0,0,0,0,0,0.41,2026-05-15
6038,referido,referido,perdido,0,0,1,0,22,2,0,0,1,0,0,0,0.168,2026-05-20
15463,familiar,chat,propuesta,1,1,0,1,2,3,65.0,0,0,0,0,1,0.46,2026-06-04
13600,inversor,chat,cierre,1,1,1,1,2,5,76.8,1,0,1,0,0,0.295,2026-04-28
17344,familiar,chat,perdido,1,1,0,0,25,1,61.8,0,0,0,0,0,0.05,2026-03-23
7558,referido,referido,negociacion,1,1,1,0,7,4,95,1,0,0,0,0,0.413,2026-03-25
4905,explorador,chat,perdido,1,0,0,1,50,2,72.3,0,0,0,1,0,0.0,2026-05-21
12851,inversor,web,propuesta,1,0,1,1,6,4,40.1,0,1,1,0,0,0.258,2026-04-30
4693,explorador,web,perdido,0,0,1,0,24,2,0,0,0,1,0,0,0.0,2026-04-03
9444,referido,referido,propuesta,1,1,1,0,4,4,0,1,0,0,0,1,0.38,2026-05-24
7856,referido,referido,calificado,1,0,0,1,7,2,0,0,1,0,0,0,0.406,2026-06-03
7352,referido,referido,calificado,1,1,1,1,10,2,0,0,0,0,0,1,0.63,2026-05-09
2298,explorador,chat,calificado,1,1,1,0,9,2,80.4,0,0,0,0,0,0.24,2026-05-19
10361,inversor,chat,perdido,1,1,1,1,36,1,78.5,0,0,0,0,0,0.12,2026-03-25
13572,inversor,web,contactado,1,1,1,1,12,2,0,0,0,0,0,1,0.39,2026-03-12
15794,familiar,web,calificado,0,0,1,1,3,1,0,0,1,0,0,0,0.238,2026-05-09
16285,familiar,chat,calificado,1,0,1,1,8,1,0,0,0,1,0,0,0.264,2026-04-16
17349,familiar,telegram,perdido,1,0,1,0,33,1,0,0,0,0,0,0,0.02,2026-05-08
12315,inversor,web,negociacion,1,1,1,1,3,4,81.1,1,0,0,0,0,0.325,2026-03-09
19555,familiar,telegram,negociacion,1,0,0,1,4,4,58.8,0,1,0,0,0,0.329,2026-03-13
1659,explorador,chat,calificado,0,0,0,0,6,2,26.0,0,1,0,0,0,0.112,2026-04-10
18427,familiar,chat,calificado,1,0,1,1,2,3,35.5,0,1,0,0,0,0.273,2026-03-29
14520,inversor,referido,contactado,1,1,1,1,2,1,91.2,0,0,0,0,1,0.46,2026-03-20
9446,referido,referido,cierre,1,1,0,1,2,6,0,0,0,0,0,1,0.65,2026-04-25
4902,explorador,chat,calificado,0,0,0,1,1,2,0,0,0,0,0,0,0.2,2026-03-19
18900,familiar,chat,cierre,0,0,1,1,3,7,0,0,0,0,0,1,0.56,2026-04-22
5246,explorador,chat,contactado,0,0,0,0,7,2,66.7,0,0,0,0,0,0.12,2026-04-15
19338,familiar,chat,contactado,1,0,1,1,10,2,67.1,0,0,0,0,0,0.31,2026-04-18
18913,familiar,telegram,cierre,1,1,1,0,2,7,0,0,0,0,0,1,0.62,2026-04-13
18603,familiar,telegram,contactado,1,0,1,1,3,2,61.7,0,0,0,0,0,0.35,2026-03-27
19821,familiar,chat,propuesta,0,0,0,1,0,2,0,0,1,0,0,0,0.266,2026-03-09
10618,inversor,web,contactado,1,1,1,1,0,2,0,0,0,0,0,1,0.43,2026-04-25
144,explorador,chat,perdido,1,1,0,0,37,2,56.7,0,0,1,0,0,0.0,2026-03-13
18705,familiar,web,calificado,1,1,1,0,6,2,76.9,1,0,1,0,0,0.176,2026-05-19
10189,inversor,referido,perdido,1,1,0,0,26,1,72.9,0,0,0,0,0,0.13,2026-04-03
10326,inversor,referido,perdido,1,0,1,1,36,1,95,0,0,1,0,0,0.096,2026-05-06
14712,inversor,web,contactado,1,1,1,0,10,1,57.1,0,0,0,0,0,0.35,2026-03-21
13651,inversor,web,calificado,1,1,1,1,0,1,66.8,0,0,0,0,0,0.45,2026-03-24
10012,inversor,telegram,contactado,1,1,1,1,3,0,52.7,0,0,0,0,1,0.41,2026-05-03
13322,inversor,chat,cierre,1,0,0,1,0,6,0,0,0,1,0,1,0.48,2026-03-21
1480,explorador,manual,contactado,0,0,1,0,1,0,0,0,0,1,0,0,0.112,2026-04-04
2257,explorador,web,perdido,0,0,0,1,52,1,28.3,0,0,0,0,0,0.0,2026-03-29
3135,explorador,manual,perdido,1,0,0,0,34,0,0,0,0,0,0,0,0.0,2026-05-03
4037,explorador,chat,cierre,0,0,0,0,2,7,0,1,0,0,0,0,0.209,2026-04-11
12720,inversor,referido,propuesta,1,0,1,0,2,4,72.9,0,0,0,0,1,0.51,2026-04-27
9928,referido,referido,propuesta,1,0,1,1,2,2,58.6,1,1,1,0,0,0.203,2026-03-19
10997,inversor,chat,negociacion,1,1,0,1,2,5,0,0,0,0,0,1,0.57,2026-05-14
2063,explorador,web,propuesta,0,0,0,0,0,4,49.7,0,0,0,1,0,0.084,2026-03-29
4250,explorador,web,perdido,1,1,1,0,53,0,0,0,0,0,1,0,0.0,2026-04-04
16825,familiar,web,perdido,0,0,1,1,32,2,51.1,0,0,0,0,0,0.03,2026-04-15
12459,inversor,web,propuesta,1,0,1,1,1,3,54.9,0,1,0,0,0,0.322,2026-06-01
12561,inversor,chat,contactado,1,1,1,1,7,1,0,0,0,0,1,0,0.137,2026-04-14
4960,explorador,web,perdido,1,1,0,0,29,1,0,0,0,0,0,0,0.0,2026-05-25
13376,inversor,referido,perdido,0,0,1,1,57,0,0,1,0,1,0,0,0.04,2026-04-30
12047,inversor,chat,propuesta,1,0,0,1,6,3,0,0,0,0,0,1,0.42,2026-04-12
14758,inversor,web,contactado,1,1,1,0,2,1,0,0,0,0,0,1,0.39,2026-05-12
5314,explorador,chat,perdido,1,0,1,1,44,1,78.0,0,0,0,0,0,0.0,2026-04-23
16034,familiar,chat,calificado,0,0,0,1,0,2,41.7,0,0,0,0,0,0.34,2026-04-20
11718,inversor,referido,perdido,0,0,1,1,26,1,0,1,1,1,0,0,0.028,2026-05-16
14894,inversor,referido,negociacion,1,1,1,0,4,3,0,1,0,0,0,0,0.319,2026-04-27
18240,familiar,chat,perdido,1,1,0,1,18,2,0,0,0,0,0,0,0.09,2026-06-01
2300,explorador,web,perdido,0,0,1,1,42,1,42.8,0,0,1,0,0,0.0,2026-03-29
1766,explorador,web,contactado,1,0,0,0,3,0,0,0,1,0,0,0,0.105,2026-04-11
12511,inversor,referido,cierre,1,0,1,1,0,6,0,0,0,0,0,1,0.65,2026-04-05
5906,explorador,web,perdido,0,0,1,0,16,1,61.8,0,0,0,1,0,0.0,2026-04-14
297,explorador,web,perdido,0,0,0,1,38,0,52.4,0,1,0,0,0,0.0,2026-05-30
9145,referido,referido,calificado,1,1,1,1,10,1,0,0,0,0,0,1,0.61,2026-04-16
15130,familiar,chat,perdido,1,0,1,1,43,1,59.3,0,0,0,0,0,0.04,2026-05-07
5219,explorador,web,contactado,0,0,1,0,13,0,44.8,0,0,0,0,0,0.1,2026-05-09
13694,inversor,telegram,perdido,1,1,1,0,30,0,76.5,0,0,0,0,0,0.1,2026-04-10
9992,referido,referido,calificado,1,1,1,0,10,2,0,0,0,0,0,1,0.61,2026-05-19
10315,inversor,referido,negociacion,0,0,1,0,2,5,93.8,1,0,0,0,0,0.297,2026-03-18
16775,familiar,referido,calificado,0,0,0,0,5,2,72.8,0,0,0,0,0,0.35,2026-03-28
8458,referido,referido,cierre,1,0,1,1,0,5,0,0,0,0,0,1,0.65,2026-04-06
2411,explorador,web,calificado,1,0,0,0,4,2,49.0,0,0,0,0,0,0.19,2026-05-20
7513,referido,referido,negociacion,1,1,1,1,0,5,76.8,0,0,0,0,1,0.65,2026-05-02
17533,familiar,web,propuesta,1,1,1,0,0,2,65.0,0,0,0,0,1,0.46,2026-04-04
13236,inversor,web,calificado,1,0,0,0,8,1,33.0,0,0,0,0,1,0.32,2026-04-26
5503,explorador,chat,perdido,0,0,0,0,26,2,10,0,0,0,1,0,0.0,2026-05-19
3624,explorador,web,perdido,0,0,1,0,28,2,0,0,1,0,1,0,0.0,2026-04-10
19791,familiar,referido,propuesta,0,0,0,1,0,4,52.1,1,0,0,0,0,0.247,2026-06-03
10165,inversor,telegram,cierre,1,1,1,1,0,7,57.3,0,0,0,0,1,0.65,2026-03-17
7716,referido,referido,negociacion,1,1,0,1,5,5,0,0,0,0,0,1,0.65,2026-04-22
9209,referido,referido,cierre,1,1,0,1,1,4,67.1,0,0,0,0,1,0.65,2026-05-17
19321,familiar,web,perdido,0,0,0,1,60,2,36.7,0,0,0,1,0,0.004,2026-04-07
11904,inversor,referido,propuesta,0,0,1,1,4,3,0,0,0,0,0,1,0.46,2026-05-17
18760,familiar,web,perdido,1,0,1,0,40,2,48.4,0,0,0,0,0,0.04,2026-04-18
11682,inversor,telegram,contactado,1,1,1,1,8,2,59.7,0,0,0,0,0,0.39,2026-03-07
18723,familiar,web,calificado,0,0,1,1,5,3,0,0,1,0,0,0,0.238,2026-04-02
4907,explorador,web,calificado,0,0,0,0,0,1,34.2,0,0,0,0,0,0.16,2026-04-13
5154,explorador,web,perdido,0,0,0,0,40,0,25.0,0,0,1,0,0,0.0,2026-03-19
6498,referido,referido,calificado,1,1,1,0,0,3,91.2,1,0,0,0,0,0.358,2026-05-20
15443,familiar,chat,cierre,1,0,1,1,3,5,55.3,1,0,0,1,0,0.114,2026-06-04
17787,familiar,web,calificado,1,1,1,1,6,1,75.0,1,0,0,0,0,0.22,2026-05-31
16978,familiar,web,negociacion,1,0,1,1,6,4,0,0,0,1,0,1,0.392,2026-03-10
5381,explorador,web,perdido,0,0,0,0,54,2,0,0,1,0,0,0,0.0,2026-04-10
11975,inversor,chat,negociacion,1,1,1,0,2,3,0,0,0,1,0,1,0.44,2026-05-21
2292,explorador,telegram,contactado,1,1,0,0,13,2,0,0,0,1,0,0,0.144,2026-05-08
4743,explorador,chat,perdido,0,0,0,0,46,2,0,0,1,0,0,0,0.0,2026-03-20
4628,explorador,web,contactado,1,1,1,0,13,0,0,0,0,0,0,0,0.18,2026-03-25
8145,referido,referido,perdido,0,0,1,1,28,2,0,0,0,0,0,0,0.26,2026-04-09
11557,inversor,chat,propuesta,0,0,0,0,6,4,46.7,0,0,0,0,0,0.39,2026-04-11
10465,inversor,referido,cierre,1,1,1,1,3,7,75.0,0,0,0,0,1,0.65,2026-05-12
11731,inversor,referido,negociacion,1,1,0,0,6,5,0,0,0,0,0,1,0.58,2026-04-29
12789,inversor,chat,propuesta,0,0,1,0,7,3,0,0,0,0,0,0,0.39,2026-04-24
2568,explorador,web,propuesta,0,0,1,0,5,3,0,0,0,0,0,0,0.22,2026-04-22
19218,familiar,web,propuesta,1,1,1,1,3,4,0,0,0,0,0,1,0.5,2026-05-17
19685,familiar,referido,contactado,1,0,1,1,14,2,91.4,0,0,1,0,0,0.288,2026-04-26
8876,referido,referido,negociacion,1,1,0,1,1,3,0,0,0,0,0,1,0.65,2026-04-25
7263,referido,referido,calificado,1,1,1,1,4,3,0,0,0,0,0,1,0.65,2026-05-07
3042,explorador,telegram,contactado,1,1,0,0,9,0,0,0,0,0,0,0,0.16,2026-05-08
5206,explorador,telegram,contactado,1,1,0,0,7,0,59.6,0,0,0,0,0,0.18,2026-05-12
14021,inversor,referido,contactado,0,0,1,1,1,2,62.3,0,0,0,0,1,0.4,2026-05-26
16344,familiar,chat,contactado,1,0,1,0,5,2,72.1,0,0,0,0,0,0.31,2026-03-26
6275,referido,referido,negociacion,1,1,0,1,0,3,79.4,0,0,0,0,1,0.65,2026-03-20
11578,inversor,chat,negociacion,1,1,1,0,6,4,65.0,0,0,0,0,1,0.55,2026-03-12
14010,inversor,web,perdido,1,0,1,1,51,1,0,1,1,0,0,0,0.027,2026-03-08
18711,familiar,chat,calificado,1,1,1,0,5,1,27.1,0,0,0,0,1,0.38,2026-05-01
7205,referido,referido,calificado,1,1,1,1,4,1,76.0,0,0,0,0,1,0.63,2026-03-19
12713,inversor,referido,contactado,1,0,0,0,2,0,0,0,1,1,0,0,0.207,2026-04-10
2516,explorador,manual,contactado,0,0,0,0,2,0,39.3,1,1,0,1,0,0.016,2026-05-25
5102,explorador,web,calificado,0,0,1,0,10,3,0,0,0,0,0,0,0.16,2026-03-21
12739,inversor,web,negociacion,1,1,1,1,5,4,0,0,0,0,0,1,0.57,2026-04-13
8705,referido,referido,propuesta,1,1,0,0,6,4,91.5,1,0,0,1,0,0.129,2026-06-01
11959,inversor,chat,propuesta,1,1,1,1,6,2,0,0,0,0,0,1,0.49,2026-05-25
11355,inversor,web,cierre,0,0,1,1,2,5,0,0,0,0,0,1,0.59,2026-05-16
616,explorador,web,calificado,0,0,0,0,4,2,0,0,0,1,1,0,0.045,2026-05-22
4718,explorador,web,perdido,0,0,0,0,17,1,55.0,0,1,0,1,0,0.0,2026-05-04
6574,referido,referido,perdido,1,1,1,1,29,1,89.3,0,0,0,0,0,0.32,2026-05-19
6401,referido,referido,perdido,1,0,1,1,53,2,70.5,0,0,0,0,0,0.29,2026-05-31
8682,referido,referido,propuesta,1,1,1,0,4,4,84.1,0,0,0,1,0,0.242,2026-05-28
6066,referido,referido,propuesta,1,1,1,0,7,2,0,0,0,0,0,1,0.65,2026-03-16
9762,referido,referido,cierre,1,1,0,1,0,5,84.9,0,0,1,0,1,0.65,2026-03-07
11266,inversor,web,negociacion,1,1,1,0,1,5,68.4,0,0,0,0,1,0.57,2026-03-15
15954,familiar,web,calificado,1,1,0,1,10,3,0,1,0,0,0,0,0.209,2026-05-31
14069,inversor,chat,negociacion,1,1,1,0,3,4,56.7,0,0,0,0,1,0.57,2026-05-08
